"msgid","msgstr"
"Area Per Box (m²)","المساحة لكل صندوق (م²)"
"Catalog PDF","كتالوج PDF"
"Collection","المجموعة"
"Country Of Origin","بلد المنشأ"
"Default Showroom","المعرض الافتراضي"
"Delivered Area (m²)","المساحة المسلَّمة (م²)"
"Display Sequence","ترتيب العرض"
"Featured Product","منتج مميز"
"Finish","التشطيب"
"Height (mm)","الارتفاع (مم)"
"Pieces Per Box","عدد القطع لكل صندوق"
"Price Per m²","السعر لكل م²"
"Product Type","نوع المنتج"
"QR Code","رمز الاستجابة السريعة"
"Required Area (m²)","المساحة المطلوبة (م²)"
"Series","السلسلة"
"Show In POS","إظهار في نقطة البيع"
"Showroom Code","رمز المعرض"
"Showroom","المعرض"
"Supply Source","مصدر التوريد"
"Thickness (mm)","السماكة (مم)"
"Warranty Information","معلومات الضمان"
"Width (mm)","العرض (مم)"
"Supplier Delivery Order","أمر توريد المورد"
"Delivery Address","عنوان التسليم"
"Delivery Date","تاريخ التسليم"
"Supplier Availability Confirmation","تأكيد توفر المورد"
"Traceability","التتبع"
"Boxes Quantity","كمية الصناديق"
"Supplier Notes","ملاحظات المورد"
"Confirmation Date","تاريخ التأكيد"
"Confirmation Time","وقت التأكيد"
"Confirmed By","تم التأكيد بواسطة"
"Contact Person","الشخص المسؤول"
"Supplier Contact","جهة اتصال المورد"
"Retail Suite Settings","إعدادات Retail Suite"
"Building Materials","مواد البناء"
"Ceramic Showroom","معرض السيراميك"
"Default Company","الشركة الافتراضية"
"Default Currency","العملة الافتراضية"
"Default Language","اللغة الافتراضية"
"Discount Approval Limit","حد اعتماد الخصم"
"Enable Advanced Dashboard","تفعيل لوحة المعلومات المتقدمة"
"Enable Customer Portal","تفعيل بوابة العميل"
"Enable Supplier Delivery Workflow","تفعيل سير عمل توريد المورد"
"Enabled Verticals","القطاعات المفعّلة"
"Feature Flags","خيارات الميزات"
"Flooring","الأرضيات"
"Furniture","الأثاث"
"Kitchen Showrooms","معارض المطابخ"
"Marble and Granite","الرخام والغرانيت"
"POS Default Price List","قائمة الأسعار الافتراضية لنقطة البيع"
"Sanitary Ware","الأدوات الصحية"
"Retail Salesperson","مندوب المبيعات"
"Retail Showroom Manager","مدير المعرض"
"Retail Warehouse User","مستخدم المستودع"
"Retail Purchasing User","مستخدم المشتريات"
"Retail Accounts User","مستخدم الحسابات"
"Retail Company Owner","مالك الشركة"
"New Sale","بيع جديد"
"Products","المنتجات"
"Sales Invoices","فواتير المبيعات"
"Supplier Confirmations","تأكيدات الموردين"
"Supplier Deliveries","توريدات الموردين"
"Product Performance Report","تقرير أداء المنتج"
"Top Selling Products","الأكثر مبيعًا من المنتجات"
"Customer Sales History","سجل مبيعات العميل"
"Quotation Analysis","تحليل عروض الأسعار"
"Sales By Showroom Report","تقرير المبيعات حسب المعرض"
"Sales Summary Report","تقرير ملخص المبيعات"
"Salesperson Performance Report","تقرير أداء مندوب المبيعات"
"Supplier Delivery Report","تقرير توريد الموردين"
"Ceramic Showroom POS","نقطة بيع معرض السيراميك"
"Your user does not have a showroom assigned. Ask your administrator to set a Default Showroom on your User record.","حسابك غير مرتبط بأي معرض. اطلب من المسؤول تعيين معرض افتراضي في سجل المستخدم الخاص بك."
"Company Warehouse","المخزن الرئيسي"
"Supplier","المورد"
"Only used if this line becomes part of a Sales Invoice.","يُستخدم فقط إذا أصبح هذا السطر جزءًا من فاتورة مبيعات."
"Box Size","حجم الصندوق"
"m²","م²"
"Required Boxes","الصناديق المطلوبة"
"Delivered Area","المساحة المسلَّمة"
"Price","السعر"
"Total","الإجمالي"
"Add To Cart","أضف إلى السلة"
"Required","المطلوب"
"boxes","صناديق"
"Delivered","تم التسليم"
"Remove","إزالة"
"Cart","السلة"
"No items yet.","لا توجد أصناف بعد."
"Customer","العميل"
"Change","تغيير"
"Search customer by name...","ابحث عن العميل بالاسم..."
"New Customer","عميل جديد"
"No Image","لا توجد صورة"
"Box","صندوق"
"No price set","لا يوجد سعر محدد"
"Add","إضافة"
"mm","مم"
"No products found.","لم يتم العثور على منتجات."
"Search by name, code, brand, collection, series, or color...","ابحث بالاسم أو الرمز أو العلامة التجارية أو المجموعة أو السلسلة أو اللون..."
"Customer Name","اسم العميل"
"Mobile Number","رقم الجوال"
"Create Customer","إنشاء عميل"
"Customer Name and Mobile Number are required.","اسم العميل ورقم الجوال مطلوبان."
"No showroom assigned","لا يوجد معرض مُعيَّن"
"Select a showroom","اختر معرضًا"
"Choose a showroom","اختر معرضًا"
"Checkout","إتمام البيع"
"Finalized","مكتمل"
"Actions","الإجراءات"
"Record Payment","تسجيل دفعة"
"Create Delivery Note","إنشاء إشعار تسليم"
"Create Supplier Delivery Order","إنشاء أمر توريد من المورد"
"Print","طباعة"
"Print Invoice","طباعة الفاتورة"
"Print Payment Receipt","طباعة إيصال الدفع"
"Print Delivery Note","طباعة إشعار التسليم"
"Print Supplier Delivery Order","طباعة أمر توريد المورد"
"Print Quotation","طباعة عرض السعر"
"Save Quotation","حفظ عرض السعر"
"Create Invoice","إنشاء فاتورة"
"No showroom available for this sale.","لا يوجد معرض متاح لهذه العملية."
"Select or create a customer first.","اختر عميلًا أو أنشئ واحدًا أولًا."
"Add at least one item to the cart.","أضف صنفًا واحدًا على الأقل إلى السلة."
"Quotation {0} created.","تم إنشاء عرض السعر {0}."
"Sales Invoice {0} completed.","تم إتمام فاتورة المبيعات {0}."
"Sales Invoice {0} was saved as a draft but could not be finalized: {1}","تم حفظ فاتورة المبيعات {0} كمسودة ولكن تعذّر إتمامها: {1}"
"Sales Invoice","فاتورة مبيعات"
"Quotation","عرض سعر"
